	Tumor_Sample_Barcode	DEL	INS	SNP	total
1	TCGA.06.5416	3	38	10204	10245
2	TCGA.DU.6392	55	138	9442	9635
3	TCGA.32.2616	1	5	923	929
4	TCGA.19.1389	45	51	778	874
5	TCGA.19.1787	28	13	496	537
6	TCGA.HT.8564	54	11	342	407
7	TCGA.HT.8110	22	259	76	357
8	TCGA.19.0957	14	16	278	308
9	TCGA.HT.7856	7	170	37	214
10	TCGA.06.5858	0	3	149	152
11	TCGA.DU.A7T6	5	1	96	102
12	TCGA.19.1390	1	2	82	85
13	TCGA.DU.7010	5	0	76	81
14	TCGA.06.0743	4	0	73	77
15	TCGA.32.2632	1	2	74	77
16	TCGA.28.2513	2	0	73	75
17	TCGA.28.5209	4	1	70	75
18	TCGA.06.0649	4	1	69	74
19	TCGA.P5.A5EV	2	1	70	73
20	TCGA.19.2629	13	2	57	72
21	TCGA.14.1034	3	1	65	69
22	TCGA.41.5651	0	0	69	69
23	TCGA.DB.A64L	3	0	66	69
24	TCGA.76.4928	1	1	64	66
25	TCGA.06.2558	0	0	64	64
26	TCGA.06.0747	2	1	60	63
27	TCGA.12.5295	3	0	59	62
28	TCGA.HT.7688	12	0	50	62
29	TCGA.S9.A6WH	6	2	53	61
30	TCGA.06.1804	0	1	59	60
31	TCGA.14.0817	3	0	57	60
32	TCGA.15.0742	0	0	60	60
33	TCGA.16.1045	2	0	58	60
34	TCGA.32.1970	1	0	59	60
35	TCGA.FG.6692	2	0	58	60
36	TCGA.HT.7860	1	1	58	60
37	TCGA.TQ.A7RM	1	3	56	60
38	TCGA.06.0174	2	0	57	59
39	TCGA.06.0744	0	1	58	59
40	TCGA.06.2563	2	0	57	59
41	TCGA.12.0821	2	0	57	59
42	TCGA.14.2554	0	1	58	59
43	TCGA.DU.5852	1	0	58	59
44	TCGA.02.0047	4	1	53	58
45	TCGA.27.1835	4	1	53	58
46	TCGA.32.1982	1	0	57	58
47	TCGA.DU.8165	2	0	56	58
48	TCGA.16.0846	1	1	55	57
49	TCGA.19.2620	3	0	54	57
50	TCGA.DB.A64X	3	0	53	56
51	TCGA.E1.A7YE	0	0	56	56
52	TCGA.FG.A6J3	1	0	55	56
53	TCGA.S9.A6TS	1	0	55	56
54	TCGA.S9.A89Z	1	2	53	56
55	TCGA.TM.A7C3	0	1	55	56
56	TCGA.02.2486	2	1	52	55
57	TCGA.06.0125	1	1	53	55
58	TCGA.76.4925	3	2	50	55
59	TCGA.FG.A4MW	4	1	50	55
60	TCGA.06.2562	3	1	50	54
61	TCGA.14.0736	3	0	51	54
62	TCGA.14.0789	2	2	50	54
63	TCGA.14.1823	2	0	52	54
64	TCGA.E1.A7YN	2	1	51	54
65	TCGA.DH.A7UR	8	0	45	53
66	TCGA.FG.6688	4	0	49	53
67	TCGA.FG.A87Q	1	1	51	53
68	TCGA.S9.A6WM	2	0	51	53
69	TCGA.12.1597	3	1	48	52
70	TCGA.14.0790	1	1	50	52
71	TCGA.32.5222	1	0	51	52
72	TCGA.DU.7006	1	1	50	52
73	TCGA.E1.5307	4	0	48	52
74	TCGA.WY.A85E	2	0	50	52
75	TCGA.06.0210	1	0	50	51
76	TCGA.06.0686	1	1	49	51
77	TCGA.28.5208	1	0	50	51
78	TCGA.76.4926	2	1	48	51
79	TCGA.FG.A4MU	1	1	49	51
80	TCGA.S9.A7QZ	22	0	29	51
81	TCGA.02.2485	3	0	47	50
82	TCGA.06.0152	3	2	45	50
83	TCGA.06.0190	2	0	48	50
84	TCGA.06.2564	1	1	48	50
85	TCGA.12.3652	2	0	48	50
86	TCGA.27.2528	3	2	45	50
87	TCGA.DU.7306	3	2	45	50
88	TCGA.FG.A70Z	0	2	48	50
89	TCGA.HT.8104	1	0	49	50
90	TCGA.19.2625	3	2	44	49
91	TCGA.27.2521	2	1	46	49
92	TCGA.76.4929	4	1	44	49
93	TCGA.DH.A669	3	1	45	49
94	TCGA.DU.6403	2	1	46	49
95	TCGA.S9.A6WL	12	3	34	49
